CountryRegionName,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,Age
United States,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,1.0,51.48,46
United States,Partial College,Management,F,S,1,3,0,0,102647,1.0,55.34,54
Germany,Partial College,Clerical,F,S,0,2,0,0,82258,1.0,51.97,28
United States,High School,Skilled Manual,M,M,1,1,2,2,54200,1.0,54.5,47
United States,Partial College,Skilled Manual,F,S,0,2,0,0,60908,1.0,48.12,28
Australia,Bachelors,Management,M,S,1,2,0,0,105007,0.0,57.27,37
United States,High School,Manual,F,M,1,0,1,1,32319,0.0,54.25,48
Australia,Partial College,Skilled Manual,M,S,0,1,0,0,52311,0.0,53.22,42
Canada,Partial College,Clerical,F,S,1,2,0,0,82851,1.0,52.19,44
United States,High School,Manual,M,M,1,1,2,2,29111,0.0,46.19,53
France,Graduate Degree,Clerical,M,M,1,1,1,1,81985,0.0,45.76,36
Australia,Partial High School,Manual,F,S,1,0,0,0,33954,1.0,50.02,55
United States,Partial College,Manual,F,S,0,0,0,0,29016,1.0,53.77,29
United States,High School,Manual,F,M,1,0,1,2,33152,0.0,51.62,57
United States,Graduate Degree,Clerical,M,M,1,1,2,2,80331,0.0,50.42,67
Germany,Bachelors,Clerical,F,S,1,1,1,1,79235,0.0,52.17,58
Germany,Graduate Degree,Manual,F,S,0,1,0,0,35390,0.0,53.1,35
United States,Graduate Degree,Professional,M,S,0,3,0,0,136457,1.0,50.64,30
Australia,High School,Skilled Manual,F,S,1,1,0,0,53549,1.0,52.48,52
Australia,Partial College,Clerical,F,M,1,0,1,2,85674,1.0,52.85,43
United States,Bachelors,Professional,M,M,1,3,0,2,129242,1.0,59.52,57
United States,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,1.0,52.61,48
United States,Bachelors,Management,M,S,1,3,0,0,111980,1.0,53.81,40
Germany,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,0.0,52.65,37
Germany,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,1.0,51.69,37
France,Partial College,Management,F,S,1,3,0,0,106648,0.0,56.39,47
United Kingdom,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,0.0,50.62,31
Germany,Partial College,Management,F,M,1,2,0,1,106062,1.0,57.61,32
France,High School,Manual,M,S,0,1,0,0,28008,0.0,47.02,39
United States,Graduate Degree,Clerical,M,M,1,2,0,3,86828,0.0,48.54,64
Australia,Partial College,Skilled Manual,M,S,0,2,0,0,61109,1.0,56.63,43
United States,Graduate Degree,Manual,F,M,1,1,1,2,35142,0.0,50.09,66
United Kingdom,High School,Skilled Manual,F,M,0,2,0,0,59673,0.0,52.78,27
United States,Bachelors,Professional,M,M,1,3,1,2,133272,1.0,51.61,61
France,Partial College,Clerical,M,S,1,3,0,1,81957,1.0,48.05,61
Germany,Partial College,Management,F,S,0,1,0,0,103314,0.0,48.53,30
Australia,Graduate Degree,Management,F,S,1,2,0,0,103546,0.0,48.33,37
France,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,1.0,54.89,36
United States,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,0.0,51.31,64
Australia,Graduate Degree,Manual,F,S,0,1,0,0,36367,0.0,50.51,38
United Kingdom,Bachelors,Management,F,S,0,2,0,0,107852,1.0,50.25,36
Australia,Bachelors,Management,M,M,1,0,0,0,105888,1.0,56.85,28
Canada,Partial High School,Manual,M,S,0,1,0,0,31956,1.0,50.94,48
Australia,High School,Clerical,F,M,0,0,0,0,83026,1.0,54.67,27
Australia,Graduate Degree,Management,M,S,1,2,0,0,110808,1.0,55.61,38
France,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,1.0,54.2,56
United States,Bachelors,Professional,F,M,1,3,1,2,132962,0.0,49.68,41
United States,Graduate Degree,Professional,M,S,1,2,0,0,135064,0.0,54.55,51
Canada,Graduate Degree,Professional,F,S,1,2,0,0,135997,0.0,54.11,51
United States,High School,Skilled Manual,F,S,0,1,0,0,57770,0.0,49.58,33
United States,Bachelors,Management,M,S,0,1,0,0,113290,0.0,53.03,31
Germany,Partial College,Clerical,F,M,1,1,1,2,81214,0.0,56.24,62
France,Bachelors,Clerical,F,M,1,2,0,2,80624,1.0,52.27,44
Germany,Bachelors,Management,F,S,1,2,0,1,106908,0.0,47.28,58
Australia,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,0.0,51.54,39
United States,Graduate Degree,Clerical,M,M,1,2,1,2,80764,0.0,57.71,34
United Kingdom,Partial High School,Manual,F,M,0,0,0,1,35297,1.0,54.24,40
United States,Partial College,Clerical,F,S,0,1,0,0,78604,1.0,48.11,27
United States,Bachelors,Management,M,M,1,3,0,0,102869,1.0,50.06,41
Canada,High School,Skilled Manual,M,M,1,1,1,2,62293,0.0,55.41,49
United Kingdom,Partial College,Manual,M,S,0,1,0,0,34607,1.0,51.7,42
United States,Partial College,Skilled Manual,F,M,1,2,1,2,53042,1.0,54.03,48
Australia,Bachelors,Management,F,S,0,1,0,0,106195,1.0,52.71,33
United States,Partial College,Management,F,M,1,2,0,2,106360,1.0,52.73,52
United States,Partial College,Management,M,M,1,2,1,1,110288,0.0,51.0,46
United States,Graduate Degree,Management,M,S,0,1,0,0,112590,1.0,52.96,32
United States,Partial College,Manual,M,M,1,0,1,2,30844,1.0,49.14,55
United States,Graduate Degree,Management,M,M,1,2,0,3,109611,0.0,52.62,64
Canada,Partial College,Management,F,S,1,2,0,0,111685,1.0,61.12,37
United States,Graduate Degree,Manual,F,S,1,0,1,1,30259,1.0,51.66,65
United States,Partial College,Clerical,M,S,0,2,0,0,82339,1.0,48.74,28
United States,High School,Clerical,M,S,1,1,0,0,87633,1.0,50.33,43
United States,Graduate Degree,Clerical,M,S,0,1,0,0,80782,1.0,52.71,35
United States,Partial College,Skilled Manual,F,M,1,1,0,2,57125,0.0,50.78,48
France,Bachelors,Skilled Manual,M,S,0,2,0,0,56092,0.0,53.52,44
United States,Graduate Degree,Professional,F,M,1,2,0,0,131943,0.0,48.73,45
Australia,Partial High School,Skilled Manual,M,M,1,2,0,2,52627,0.0,60.78,54
United States,Partial College,Manual,M,M,1,1,0,2,26331,1.0,57.06,44
Australia,Bachelors,Manual,M,S,0,1,0,0,27908,0.0,51.26,30
Germany,High School,Skilled Manual,M,S,0,1,0,0,56751,1.0,52.95,39
Germany,Bachelors,Manual,M,M,1,1,1,2,32619,1.0,49.93,51
United States,Bachelors,Management,F,M,1,3,0,0,105983,0.0,48.8,39
United States,Graduate Degree,Professional,F,M,1,1,1,2,128877,1.0,52.42,33
Australia,High School,Skilled Manual,F,S,1,2,1,1,55000,1.0,53.16,60
Canada,High School,Skilled Manual,F,S,0,1,0,0,50910,0.0,56.7,29
France,Partial College,Skilled Manual,M,M,1,2,1,1,57493,1.0,51.04,39
Germany,Partial College,Clerical,F,S,1,0,1,1,82095,0.0,49.99,62
Australia,Bachelors,Professional,M,S,0,2,0,0,136001,0.0,56.33,29
Australia,Bachelors,Management,F,M,1,3,0,0,104443,1.0,50.8,37
United States,Partial College,Skilled Manual,F,S,0,1,0,0,59013,1.0,53.12,40
United States,Partial College,Skilled Manual,M,S,0,1,0,0,54240,0.0,53.95,45
United States,Bachelors,Management,F,M,1,3,0,2,103150,1.0,49.8,57
United States,Partial College,Management,F,M,1,3,1,2,108823,0.0,56.22,44
France,High School,Clerical,F,S,0,2,0,0,77300,0.0,46.38,28
United States,Partial College,Clerical,F,M,1,2,0,1,82308,0.0,50.38,47
United States,Graduate Degree,Professional,F,S,1,1,0,0,129719,1.0,48.62,46
Germany,Partial College,Manual,M,S,0,0,0,0,36588,0.0,57.32,28
United States,Partial College,Clerical,F,S,1,3,0,0,81053,1.0,57.36,47
France,High School,Manual,F,M,1,0,2,2,35160,1.0,48.84,53
Germany,High School,Skilled Manual,M,S,1,1,0,0,57655,1.0,54.84,48
United States,Partial High School,Skilled Manual,M,M,1,2,1,1,61513,1.0,52.5,50
United States,High School,Skilled Manual,M,M,0,0,0,0,57933,0.0,48.28,24
Canada,Bachelors,Management,M,S,0,2,0,0,104429,1.0,49.99,31
United States,High School,Manual,M,M,1,0,0,2,32494,0.0,48.21,52
United States,High School,Skilled Manual,F,M,0,2,0,0,51293,1.0,59.27,26
Germany,Partial College,Clerical,M,M,1,3,1,2,78805,1.0,50.3,59
Germany,Partial High School,Manual,M,S,0,1,0,0,33244,0.0,47.46,24
United States,Partial College,Manual,M,M,1,1,1,1,30115,1.0,53.79,42
Australia,Partial College,Skilled Manual,M,S,1,1,1,1,55404,0.0,52.2,58
Australia,Partial College,Manual,F,S,0,0,0,0,34165,1.0,54.72,51
United States,High School,Skilled Manual,M,M,1,2,1,2,57132,1.0,52.93,48
United Kingdom,Graduate Degree,Professional,M,S,1,2,0,0,132560,1.0,57.56,35
United States,High School,Skilled Manual,M,M,1,1,1,2,53062,1.0,51.78,50
Canada,Bachelors,Clerical,F,M,1,0,1,2,79950,1.0,48.36,62
United States,Bachelors,Clerical,M,M,1,2,0,1,83167,1.0,50.5,41
Germany,Partial College,Clerical,M,S,1,0,0,0,77729,0.0,47.15,42
France,Partial College,Skilled Manual,F,M,1,1,1,1,54058,1.0,49.83,51
United States,Graduate Degree,Clerical,F,M,1,1,0,2,87071,1.0,54.85,45
United States,High School,Manual,F,S,0,0,0,0,26818,1.0,51.33,29
United States,Bachelors,Skilled Manual,M,M,1,0,0,2,52630,0.0,50.72,51
France,Partial College,Clerical,M,M,1,2,0,2,83410,1.0,53.04,48
Australia,Partial College,Clerical,F,M,1,2,1,2,83299,1.0,51.53,44
United States,Bachelors,Skilled Manual,F,S,1,1,1,1,54201,1.0,48.65,61
Canada,Graduate Degree,Professional,F,S,1,2,0,0,133136,0.0,53.81,38
Canada,Partial High School,Skilled Manual,M,S,0,2,0,0,60371,1.0,54.8,25
Canada,Partial College,Skilled Manual,F,M,1,1,1,2,55220,1.0,55.82,47
United States,Partial College,Clerical,M,M,1,1,0,2,85098,1.0,51.39,44
United States,Bachelors,Professional,M,S,1,2,0,0,129013,0.0,51.2,36
United States,Bachelors,Management,F,S,0,2,0,0,106013,0.0,53.98,36
United States,Partial College,Clerical,F,S,0,2,0,0,77922,1.0,50.08,28
France,Graduate Degree,Management,F,M,1,3,0,0,104734,0.0,52.24,36
United States,Partial College,Clerical,F,S,0,2,0,0,83202,0.0,50.99,31
Australia,High School,Skilled Manual,M,M,1,1,1,2,61391,1.0,47.93,60
Canada,High School,Clerical,F,S,1,0,0,0,82687,1.0,54.16,53
Germany,Partial College,Clerical,M,S,0,1,0,0,83361,0.0,58.64,29
Australia,Bachelors,Skilled Manual,F,M,0,2,0,0,57161,0.0,49.64,30
United Kingdom,Graduate Degree,Management,F,M,1,3,1,2,109320,1.0,48.5,43
United States,Partial College,Manual,M,M,1,1,1,2,27866,0.0,48.52,44
Canada,High School,Skilled Manual,F,S,1,1,0,0,53889,1.0,53.51,51
Australia,Partial High School,Skilled Manual,M,M,1,0,0,2,53916,0.0,51.35,57
Australia,High School,Skilled Manual,F,M,0,1,0,0,56880,0.0,52.17,25
Australia,High School,Clerical,F,M,1,3,1,2,85533,1.0,55.47,47
United States,Bachelors,Management,F,S,1,1,0,0,109072,0.0,49.34,41
France,Graduate Degree,Management,M,M,1,4,0,2,110148,1.0,54.91,42
United States,Partial College,Management,F,M,1,2,1,2,103959,1.0,57.12,39
United States,High School,Skilled Manual,F,S,0,1,0,0,54230,1.0,49.84,25
United States,Bachelors,Professional,F,S,1,2,0,0,133903,1.0,51.55,46
United States,Bachelors,Clerical,M,S,1,1,0,0,79311,1.0,56.89,42
United States,Partial College,Clerical,F,M,1,2,0,2,84084,0.0,46.82,43
United States,Bachelors,Skilled Manual,M,S,0,2,0,0,54821,1.0,50.43,35
United States,Partial College,Clerical,M,M,1,2,1,2,77748,0.0,48.2,50
Australia,High School,Manual,M,M,1,0,2,2,27122,1.0,54.53,58
Germany,Partial College,Skilled Manual,M,S,0,0,0,0,62520,0.0,48.28,41
United States,Partial College,Skilled Manual,F,S,0,1,0,0,55096,0.0,47.03,26
Canada,Bachelors,Clerical,M,M,1,2,1,2,83229,0.0,53.02,59
Australia,Bachelors,Skilled Manual,F,M,1,0,0,3,60347,1.0,48.04,65
United States,Partial College,Manual,F,M,0,0,1,1,27006,1.0,61.69,39
France,High School,Skilled Manual,M,S,1,0,0,0,56071,1.0,50.37,55
United States,Partial College,Skilled Manual,M,S,1,0,0,0,51705,1.0,51.84,54
United States,Graduate Degree,Clerical,M,M,1,0,1,2,87993,0.0,48.47,38
United States,Partial College,Clerical,F,M,1,2,0,2,81913,1.0,52.44,49
Australia,Bachelors,Skilled Manual,F,S,0,0,0,0,55838,0.0,45.77,41
Germany,Partial College,Manual,F,S,0,1,0,0,32924,0.0,54.57,45
United States,Bachelors,Professional,F,M,1,2,2,2,136633,1.0,52.55,45
United States,Graduate Degree,Manual,M,M,1,1,0,3,28954,1.0,51.15,70
United States,Partial College,Clerical,M,M,1,1,0,1,78271,1.0,55.31,44
United States,Partial College,Skilled Manual,M,S,0,0,0,0,54082,1.0,50.93,30
Australia,Partial College,Management,F,S,1,2,0,0,102019,0.0,55.78,43
Australia,Bachelors,Skilled Manual,M,M,1,1,0,2,58336,1.0,52.04,46
Australia,Bachelors,Management,M,M,1,2,0,0,106235,1.0,54.78,37
United States,Graduate Degree,Professional,M,M,1,1,0,2,132506,0.0,48.52,38
United States,Partial College,Skilled Manual,F,M,1,0,2,2,61547,1.0,52.94,47
United States,Graduate Degree,Professional,M,S,1,2,1,1,134871,0.0,49.82,66
United Kingdom,High School,Skilled Manual,F,S,0,1,0,0,51970,0.0,53.85,35
United States,Graduate Degree,Professional,F,S,1,3,0,0,129017,1.0,49.84,33
United Kingdom,High School,Skilled Manual,F,S,1,1,0,0,51980,1.0,52.54,55
Australia,Bachelors,Management,F,S,0,1,0,0,107530,1.0,53.76,36
United States,Graduate Degree,Clerical,M,M,1,1,0,1,80444,0.0,50.68,34
United States,Partial College,Management,F,S,1,2,0,0,105715,0.0,53.33,42
United States,Graduate Degree,Clerical,M,S,1,0,0,1,77151,1.0,49.64,69
United States,Bachelors,Clerical,F,M,1,1,0,2,81669,0.0,50.55,46
United States,Graduate Degree,Clerical,F,S,0,2,0,0,81432,1.0,55.18,38
Australia,Bachelors,Manual,M,S,0,0,0,0,34298,1.0,48.71,28
France,Bachelors,Management,F,M,1,1,0,2,107934,0.0,45.07,46
Canada,Graduate Degree,Management,F,S,0,2,0,0,109457,1.0,65.29,31
United States,Bachelors,Skilled Manual,M,M,0,1,1,1,54266,1.0,52.28,34
France,High School,Manual,F,S,0,0,0,0,26150,1.0,48.96,36
United States,Graduate Degree,Management,M,M,1,3,1,2,112302,1.0,49.83,38
United States,Graduate Degree,Clerical,F,M,1,3,1,1,81542,0.0,60.95,45
Canada,High School,Skilled Manual,M,M,1,2,1,2,51854,1.0,49.02,53
United States,Bachelors,Skilled Manual,F,S,0,0,0,0,54153,1.0,49.95,39
Australia,Bachelors,Management,M,S,1,1,0,0,105736,1.0,52.19,40
United Kingdom,Partial College,Skilled Manual,F,S,0,2,0,0,54626,1.0,48.37,25
Australia,Bachelors,Clerical,M,M,0,2,0,0,83144,0.0,51.68,26
Canada,Graduate Degree,Professional,M,M,1,2,2,2,135029,1.0,47.45,63
United States,Bachelors,Skilled Manual,F,M,1,0,0,2,52476,0.0,52.34,58
Germany,Bachelors,Clerical,F,S,1,0,0,0,84807,1.0,51.3,51
United States,High School,Manual,F,S,0,0,0,0,36634,0.0,48.34,29
United States,Bachelors,Clerical,F,S,0,3,0,0,84866,1.0,49.91,35
Canada,Bachelors,Clerical,M,M,1,1,1,2,79867,1.0,53.74,34
United States,Graduate Degree,Skilled Manual,M,M,1,0,0,2,51783,1.0,46.58,63
United Kingdom,Graduate Degree,Skilled Manual,F,M,1,1,1,2,55768,1.0,54.01,61
Canada,Partial College,Clerical,F,M,1,2,1,2,80690,0.0,50.76,46
United States,High School,Manual,F,M,0,0,0,0,30247,1.0,48.95,30
United States,Partial College,Clerical,M,M,1,2,0,2,83705,1.0,63.85,47
Australia,Bachelors,Management,F,S,0,2,0,0,106597,1.0,48.03,34
United States,Graduate Degree,Skilled Manual,F,M,0,0,1,2,60958,0.0,48.55,33
United States,Bachelors,Management,M,S,1,2,0,0,111130,1.0,51.94,39
United States,Bachelors,Skilled Manual,M,M,1,0,0,1,53604,0.0,49.88,39
United States,High School,Skilled Manual,F,M,0,1,0,0,57269,1.0,47.88,30
United States,Bachelors,Skilled Manual,M,S,0,2,0,0,61287,1.0,56.86,40
Canada,High School,Clerical,F,S,0,1,0,0,77098,1.0,50.77,28
United States,High School,Skilled Manual,M,M,0,2,0,0,52607,1.0,58.93,30
United States,Bachelors,Professional,M,M,1,2,0,2,130743,1.0,52.52,51
United States,High School,Skilled Manual,M,M,1,0,1,2,59358,0.0,52.14,44
United States,High School,Skilled Manual,M,M,1,0,1,1,54025,1.0,60.33,50
Canada,Partial College,Clerical,F,M,1,2,1,2,79556,1.0,48.06,55
Australia,Bachelors,Professional,F,M,1,1,0,2,128521,1.0,54.72,64
Germany,Partial College,Skilled Manual,M,M,1,1,1,2,51642,0.0,46.72,52
United Kingdom,Partial College,Skilled Manual,F,S,1,2,0,0,52484,1.0,52.89,52
Germany,High School,Manual,M,S,0,0,0,0,30051,1.0,50.49,41
Canada,Partial High School,Manual,F,M,1,1,1,1,25495,1.0,54.09,47
Australia,Bachelors,Professional,M,M,1,2,1,2,136250,1.0,47.92,62
Canada,Bachelors,Skilled Manual,F,S,0,0,0,0,51351,1.0,51.27,44
United States,Bachelors,Professional,M,S,1,2,0,0,134516,0.0,44.95,41
Australia,Partial College,Skilled Manual,M,M,0,2,0,0,58340,0.0,45.82,31
United States,Partial College,Clerical,M,M,1,3,1,2,78194,1.0,55.68,54
United States,Graduate Degree,Manual,M,M,0,0,1,2,27849,1.0,53.66,34
United Kingdom,Partial High School,Manual,M,S,0,0,0,0,31315,1.0,53.89,32
France,Graduate Degree,Professional,F,M,1,2,2,2,133103,1.0,59.88,36
France,High School,Clerical,M,S,0,1,0,0,85953,1.0,52.11,35
Germany,High School,Clerical,F,S,0,0,0,0,78356,0.0,47.59,39
United States,Graduate Degree,Professional,M,M,1,2,0,0,132022,1.0,51.45,38
United Kingdom,Bachelors,Management,F,M,1,2,0,0,103281,0.0,48.16,39
United Kingdom,Partial High School,Manual,M,S,0,0,0,0,36326,1.0,51.27,32
United States,Bachelors,Clerical,F,S,0,2,0,0,80632,1.0,57.58,39
Australia,Bachelors,Skilled Manual,F,M,1,1,0,1,54443,0.0,53.38,41
France,Partial College,Skilled Manual,M,M,1,1,1,2,53720,1.0,51.67,39
United States,Bachelors,Professional,M,M,1,2,2,2,138094,0.0,48.71,51
United States,Bachelors,Clerical,F,S,0,2,0,0,81168,1.0,50.25,40
United States,Bachelors,Management,M,M,1,0,0,2,110907,0.0,56.2,61
Canada,Partial College,Skilled Manual,M,M,1,2,0,2,55051,1.0,51.01,57
France,High School,Skilled Manual,M,M,1,1,1,2,60460,1.0,49.8,54
United States,Partial College,Management,M,M,1,1,0,2,113065,1.0,54.85,49
Germany,Partial College,Clerical,F,S,0,2,0,0,78659,1.0,53.04,34
Germany,High School,Skilled Manual,F,M,1,0,1,2,60825,0.0,50.17,39
France,Partial College,Skilled Manual,M,S,0,0,0,0,51307,1.0,54.08,46
United States,Graduate Degree,Professional,F,S,1,2,1,1,135850,1.0,53.3,63
Germany,High School,Skilled Manual,F,S,0,1,0,0,56139,1.0,49.89,41
United Kingdom,Partial College,Management,M,M,1,1,0,2,106292,1.0,51.6,54
United States,Graduate Degree,Clerical,M,M,1,0,1,2,86492,0.0,49.1,34
Australia,Bachelors,Clerical,F,S,0,2,0,0,78270,0.0,50.0,36
United States,Partial College,Clerical,F,M,1,2,1,2,76306,1.0,48.25,49
France,Partial High School,Manual,M,S,0,0,0,0,26611,0.0,52.1,30
United States,High School,Skilled Manual,F,S,0,1,0,0,53598,1.0,50.42,25
Australia,Partial High School,Skilled Manual,F,M,1,1,1,2,55540,1.0,61.62,54
United States,Graduate Degree,Professional,M,M,1,2,0,0,138508,0.0,50.42,33
United States,Graduate Degree,Management,F,M,1,0,0,3,103553,0.0,56.64,65
Germany,Bachelors,Management,M,S,1,2,0,0,106124,1.0,51.41,44
Germany,Partial College,Clerical,M,M,0,3,0,0,87137,1.0,47.62,27
Germany,Partial High School,Skilled Manual,M,M,1,0,0,1,53321,1.0,52.1,38
United Kingdom,Bachelors,Management,F,S,0,2,0,0,106613,0.0,59.24,35
Australia,High School,Skilled Manual,F,S,1,0,0,0,53096,0.0,52.68,47
United States,Partial High School,Skilled Manual,M,S,1,1,0,0,60793,0.0,59.09,48
Germany,Partial High School,Manual,M,S,0,1,0,0,30763,1.0,59.07,40
United States,Graduate Degree,Professional,F,M,1,0,0,2,135185,1.0,55.33,38
United States,Partial High School,Skilled Manual,M,S,1,1,0,0,57677,1.0,60.88,48
France,Bachelors,Clerical,M,M,1,1,1,2,78065,1.0,50.67,48
United States,Bachelors,Clerical,M,M,1,2,1,2,82159,0.0,50.85,41
Australia,Bachelors,Management,M,M,1,3,1,2,104925,1.0,50.72,40
Germany,Partial College,Skilled Manual,F,S,0,2,0,0,53762,1.0,53.75,39
Australia,Bachelors,Clerical,F,M,0,0,0,0,85651,1.0,53.75,28
Germany,Partial College,Clerical,F,M,1,1,1,1,78680,1.0,50.43,36
United Kingdom,Graduate Degree,Professional,M,M,1,2,0,2,138681,1.0,51.8,43
United Kingdom,High School,Clerical,M,S,0,0,0,0,86677,0.0,47.35,39
United Kingdom,Partial College,Clerical,F,S,1,0,0,0,84713,1.0,56.06,45
United States,Partial College,Management,F,S,1,3,0,0,102387,0.0,49.02,56
Australia,Partial High School,Manual,M,S,0,0,0,0,26017,0.0,47.0,34
Germany,Partial College,Clerical,M,S,0,2,0,0,78140,0.0,48.44,40
Germany,Partial College,Skilled Manual,F,M,1,2,0,2,57071,0.0,49.16,50
